0.00    1.00   1   1.00 1.00 1.00
0.10    1.00   1   1.00 1.00 1.00
0.10    1.00   1   1.00 1.00 1.00
0.10    1.00   1   1.00 1.00 1.00
0.10    1.00   1   1.00 1.00 1.00
0.20    1.00   1   1.00 1.00 1.00
0.20    1.00   1   1.00 1.00 1.00
0.20    1.00   1   1.00 1.00 1.00
0.50    1.00   1   1.00 1.00 1.00
0.60    1.00   1   1.00 1.00 1.00
0.60    1.00   1   1.00 1.00 1.00
0.60    1.00   1   1.00 1.00 1.00
0.60    1.00   1   1.00 1.00 1.00
0.70    1.00   1   1.00 1.00 1.00
0.70    1.00   1   1.00 1.00 1.00
0.70    1.00   1   1.00 1.00 1.00
0.25    1.00   1   1.00 1.00 1.00
0.30    1.00   1   1.00 1.00 1.00
0.30    1.00   1   1.00 1.00 1.00
0.30    1.00   1   1.00 1.00 1.00
0.30    1.00   1   1.00 1.00 1.00
0.40    1.00   1   1.00 1.00 1.00
0.40    1.00   1   1.00 1.00 1.00
0.40    1.00   1   1.00 1.00 1.00
0.30    1.00   1   1.00 1.00 1.00
0.40    1.00   1   1.00 1.00 1.00
0.40    1.00   1   1.00 1.00 1.00
0.40    1.00   1   1.00 1.00 1.00
0.40    1.00   1   1.00 1.00 1.00
0.50    1.00   1   1.00 1.00 1.00
0.50    1.00   1   1.00 1.00 1.00
0.50    1.00   1   1.00 1.00 1.00
